timestamp,message
1767579823625,"[INFO]	2026-01-05T02:23:43.625Z	99d50aef-c5ac-43cf-9763-fa34e878aa07		⛺️	24 total sites found in month of March
"
1767579823625,"[INFO]	2026-01-05T02:23:43.625Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	Searching Pantoll Campgroup 16 Sites, Mount Tamalpais SP (2009) for availability: March, 2026
"
1767579824589,"[INFO]	2026-01-05T02:23:44.588Z	99d50aef-c5ac-43cf-9763-fa34e878aa07		❌	0 total sites found in month of March
"
1767579824589,"[INFO]	2026-01-05T02:23:44.589Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	Searching Bootjack Campground 15-sites, Mount Tamalpais SP (2008) for availability: March, 2026
"
1767579825582,"[INFO]	2026-01-05T02:23:45.582Z	99d50aef-c5ac-43cf-9763-fa34e878aa07		❌	0 total sites found in month of March
"
1767579825582,"[INFO]	2026-01-05T02:23:45.582Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	Searching Environmental Group Camp Area, Julia Pfeiffer Burns SP (518) for availability: March, 2026
"
1767579826584,"[INFO]	2026-01-05T02:23:46.583Z	99d50aef-c5ac-43cf-9763-fa34e878aa07		❌	0 total sites found in month of March
"
1767579826584,"[INFO]	2026-01-05T02:23:46.584Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	Searching S Rav Cabin Area, Mount Tamalpais SP (766) for availability: April, 2026
"
1767579827622,"[INFO]	2026-01-05T02:23:47.622Z	99d50aef-c5ac-43cf-9763-fa34e878aa07		❌	0 total sites found in month of April
"
1767579827622,"[INFO]	2026-01-05T02:23:47.622Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	Searching S Rav Camp Area (sites E1-E7), Mount Tamalpais SP (590) for availability: April, 2026
"
1767579828645,"[INFO]	2026-01-05T02:23:48.645Z	99d50aef-c5ac-43cf-9763-fa34e878aa07		⛺️	3 total sites found in month of April
"
1767579828645,"[INFO]	2026-01-05T02:23:48.645Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	Searching Pantoll Campgroup 16 Sites, Mount Tamalpais SP (2009) for availability: April, 2026
"
1767579829582,"[INFO]	2026-01-05T02:23:49.582Z	99d50aef-c5ac-43cf-9763-fa34e878aa07		❌	0 total sites found in month of April
"
1767579829582,"[INFO]	2026-01-05T02:23:49.582Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	Searching Bootjack Campground 15-sites, Mount Tamalpais SP (2008) for availability: April, 2026
"
1767579830582,"[INFO]	2026-01-05T02:23:50.582Z	99d50aef-c5ac-43cf-9763-fa34e878aa07		❌	0 total sites found in month of April
"
1767579830582,"[INFO]	2026-01-05T02:23:50.582Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	Searching Environmental Group Camp Area, Julia Pfeiffer Burns SP (518) for availability: April, 2026
"
1767579831588,"[INFO]	2026-01-05T02:23:51.588Z	99d50aef-c5ac-43cf-9763-fa34e878aa07		❌	0 total sites found in month of April
"
1767579833064,"[INFO]	2026-01-05T02:23:53.064Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	⛺️ ⛺️ ⛺️ ⛺️ 80 Reservable Campsites Matching Search Preferences
"
1767579833067,"[INFO]	2026-01-05T02:23:53.067Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	Found 80 available sites for ReserveCalifornia
"
1767579833124,"[INFO]	2026-01-05T02:23:53.124Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	Found credentials in environment variables.
"
1767579833643,"[INFO]	2026-01-05T02:23:53.643Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	Changes detected for ReserveCalifornia, added 80 sites
"
1767579833645,"[INFO]	2026-01-05T02:23:53.644Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	90 booking nights selected for search, ranging from 2026-01-05 to 2026-04-04
"
1767579833645,"[INFO]	2026-01-05T02:23:53.645Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	4 different months selected for search, ranging from 2026-01-05 to 2026-04-04
"
1767579835616,"[INFO]	2026-01-05T02:23:55.616Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	2 Matching Campgrounds Found
"
1767579835616,"[INFO]	2026-01-05T02:23:55.616Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	⛰  Point Reyes National Seashore, CA (#2864) - 🏕  Point Reyes National Seashore Campground (#233359)
"
1767579835616,"[INFO]	2026-01-05T02:23:55.616Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	⛰  Tahoe National Forest, CA (#1077) - 🏕  Sardine Peak Lookout (#252037)
"
1767579835618,"[INFO]	2026-01-05T02:23:55.618Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	Searching across 2 campgrounds
"
1767579835842,"[INFO]	2026-01-05T02:23:55.842Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	Metadata fetched for 52 campsites
"
1767579835842,"[INFO]	2026-01-05T02:23:55.842Z	99d50aef-c5ac-43cf-9763-fa34e878aa07	Searching Point Reyes National Seashore Campground, Point Reyes National Seashore, CA (233359) for availability: January, 2026
"
1767579836825,"[INFO]	2026-01-05T02:23:56.825Z	99d50aef-c5ac-43cf-9763-fa34e878aa07		⛺️	762 total sites found in month of January
"
